lsl_time,label,event,trial_id
0.0,start,experiment_start,
5.401666666666667,1,left_hand,
12.40166666666667,2,right_hand,
19.40166666666667,2,right_hand,
26.40166666666667,1,left_hand,
33.40166666666667,2,right_hand,
40.40166666666667,1,left_hand,
47.40166666666667,2,right_hand,
54.40166666666667,1,left_hand,
61.40166666666667,1,left_hand,
68.40166666666667,2,right_hand,
75.40166666666667,2,right_hand,
82.40166666666667,1,left_hand,
89.40166666666667,1,left_hand,
96.40166666666667,2,right_hand,
103.4016666666667,2,right_hand,
110.4016666666667,1,left_hand,
117.4016666666667,2,right_hand,
124.4016666666667,1,left_hand,
131.4016666666667,1,left_hand,
138.4016666666667,2,right_hand,
145.4016666666667,1,left_hand,
152.4016666666667,2,right_hand,
159.4016666666667,1,left_hand,
166.4016666666667,2,right_hand,
173.4016666666667,1,left_hand,
180.4016666666667,2,right_hand,
187.4016666666667,1,left_hand,
194.4016666666667,2,right_hand,
201.4016666666667,1,left_hand,
208.4016666666667,2,right_hand,
514.62,stop,experiment_stop,
